Region,BoxName,RA,Dec,VLSR,Priority
Ophiuchus,Ophiuchus_map_L1688-7,16:27:28,-24:33:15,3,-
Ophiuchus,Ophiuchus_map_L1688-8,16:27:28,-24:43:15,3,-
Ophiuchus,Ophiuchus_map_L1688-9,16:28:11,-24:35:00,3,1
Ophiuchus,Ophiuchus_map_L1688-10,16:28:46.5,-24:18:27,3,2
Ophiuchus,Ophiuchus_map_L1688-11,16:28:11,-24:42:30,3,2
Ophiuchus,Ophiuchus_map_L1688-12,16:26:45,-24:12:30,3,2
Ophiuchus,Ophiuchus_map_L1688-13,16:27:28,-24:13:15,3,2
Ophiuchus,Ophiuchus_map_L1688-14,16:28:54,-24:40:00,3,3
Ophiuchus,Ophiuchus_map_L1689-1,16:34:48,-24:38:04,3,3
Ophiuchus,Ophiuchus_map_L1689-2,16:32:26.599,-24:28:35.67,3,3
Ophiuchus,Ophiuchus_map_L1689-3,16:31:49,-24:49:42,3,5
Ophiuchus,Ophiuchus_map_L1689-4,16:32:00,-24:59:42,3,5
Ophiuchus,Ophiuchus_map_L1712-1,16:39:55.2,-24:10:48,3,5
Ophiuchus,Ophiuchus_map_L1712-2,16:41:48,-24:06:00,3,5
,,,,,
,,,,,
OrionB,OrionB_map_1,5:41:54.580,-1:44:31.0,10,1
OrionB,OrionB_map_2,5:41:14.580,-1:44:31.0,10,1
OrionB,OrionB_map_34,5:41:36.2,-1:54:31.0,10,1
,,,,,
OrionB,OrionB_map_5,5:41:31.403,-2:14:31.0,10,
OrionB,OrionB_map_6,5:41:31.403,-2:24:31.0,10,
OrionB,OrionB_map_7,5:42:05.880,-2:04:31.0,10,
,,,,,
OrionB,OrionB_map_8,5:46:07.521,-0:11:20.0,10,
OrionB,OrionB_map_9,5:46:18.000,-0:01:20.0,10,
OrionB,OrionB_map_10,5:46:58.000,-0:01:20.0,10,
OrionB,OrionB_map_11,5:46:18.000,0:08:40.0,10,
OrionB,OrionB_map_12,5:46:58.000,0:08:40.0,10,
OrionB,OrionB_map_13,5:46:58.000,0:18:40.0,10,
OrionB,OrionB_map_14,5:47:38.000,0:18:40.0,10,
OrionB,OrionB_map_15,5:46:18.000,0:23:40.0,10,
OrionB,OrionB_map_16,5:46:58.000,0:28:40.0,10,
OrionB,OrionB_map_17,5:54:20.000,1:46:20.00,10,
,,,,,
OrionA,OrionA_map_01,5:35:16,-04:57:00 ,10,1
OrionA,OrionA_map_02,05:35:26 ,-05:07:00,10,1
OrionA,OrionA_map_03 ,05:35:43 ,-05:17:00,10,1
OrionA,OrionA_map_04 ,05:35:03 ,-05:17:00,10,1
OrionA,OrionA_map_05,05:35:43 ,-05:27:00,10,1
OrionA,OrionA_map_06 ,05:35:03 ,-05:27:00,10,1
OrionA,OrionA_map_07,05:35:00 ,-05:37:00,10,
OrionA,OrionA_map_08 ,05:35:00 ,-05:47:00,10,
OrionA,OrionA_map_09 ,05:35:16 ,-05:56:00,10,
OrionA,OrionA_map_10 ,05:35:41 ,-06:06:00,10,
OrionA,OrionA_map_11 ,05:36:13,-06:14:00,10,
OrionA,OrionA_map_12,05:34:20,-05:35:00,10,2
OrionA,OrionA_map_13 ,05:34:20 ,-05:45:00 ,10,2
OrionA,OrionA_map_14 ,05:35:08 ,-06:14:00 ,10,1
OrionA,OrionA_map_15 ,05:36:29 ,-06:24:00 ,10,1
OrionA,OrionA_map_16 ,05:36:59 ,-06:34:00 ,10,2
OrionA,OrionA_map_17 ,05:36:17 ,-06:47:00 ,10,1
OrionA,OrionA_map_18,05:38:50 ,-07:01:00 ,10,1
OrionA,OrionA_map_19,05:39:00 ,-07:11:00 ,10,1
OrionA,OrionA_map_20,05:39:45 ,-07:28:15 ,10,1
OrionA,OrionA_map_21,05:39:05 ,-07:23:15 ,10,1
OrionA,OrionA_map_22,05:40:25,-07:30:15 ,10,1
OrionA,OrionA_map_23,05:40:27 ,-07:40:15 ,10,1
OrionA,OrionA_map_24,05:41:20 ,-07:55:00 ,10,1
OrionA,OrionA_map_25,05:41:30 ,-08:05:00 ,10,1
OrionA,OrionA_map_26,05:40:50 ,-08:05:00 ,10,1
Serp Aquila,serpAquila_map_1 ,18:31:15,-2:07:00,7.5,1
Serp Aquila,serpAquila_map_2 ,18:31:15,-1:57:00,7.5,1
Serp Aquila,serpAquila_map_3 ,18:31:55,-2:01:00,7.5,1
Serp Aquila,serpAquila_map_4 ,18:31:20,-2:17:00,7.5,1
Serp Aquila,serpAquila_map_5 ,18:32:00,-2:19:00,7.5,1
Serp Aquila,serpAquila_map_6,18:31:55,-1:51:00,7.5,1
Serp Aquila,serpAquila_map_7,18:30:40,-2:19:00,7.5,2
Serp Aquila,serpAquila_map_8,18:31:20,-2:27:00,7.5,2
Serp Aquila,serpAquila_map_9,18:32:25,-1:56:00,7.5,1
Serp Aquila,serpAquila_map_10,18:31:50,-2:29:00,7.5,2
Serp Aquila,serpAquila_map_11,18:32:10,-2:34:00,7.5,2
Serp Aquila,serpAquila_map_12,18:31:15,-1:49:30,7.5,1
Serp Aquila,serpAquila_map_13,18:29:07,-2:05:30,7.5,3
Serp Aquila,serpAquila_map_14,18:29:02,-1:41:30,7.5,3
Serp Aquila,serpAquila_map_15,18:29:42,-1:41:30,7.5,3
Serp Aquila,serpAquila_map_16,18:29:07,-1:31:30,7.5,3
Serp Aquila,serpAquila_map_17,18:28:13,-3:49:00,7.5,4
